Location,University,QS Rank,Program,Qualification
Choice 1: BBA Management",BBA
HK,The Hong Kong University of Science and Technology,44,Alternative : Business and Management,BSc
Choice 2 : BBA in Marketing
",BBA
HK,The Hong Kong University of Science and Technology,44,Choice 1 : BSc in Environmental Management and Technology,BSc
Alternative : Business and Management",BSc
HK,The Hong Kong University of Science and Technology,44,Choice 2 : BSc in Sustainable and Green Finance,BSc
Alternative : Business and Management",BSc
HK,The Hong Kong University of Science and Technology,44,Science (Group B),
HK,The Hong Kong University of Science and Technology,44,BSc in Biomedical and Health Sciences,
HK,The Hong Kong University of Science and Technology,44,Alternative : Science (Group B),
Choice 1 : BSc in Biomedical and Health Sciences",BSc
HK,The Hong Kong University of Science and Technology,44,Choice 2 : Department of Chemical and Biological Engineering,BEng
Alternative : Department of Mechanical and Aerospace Engineering",BEng
HK,The Hong Kong University of Science and Technology,44,Department of Civil and Environmental Engineering,BEng
Rejected by: Department of Electronic and Computer Engineering",BEng
HK,The Hong Kong University of Science and Technology,44,2 : Department of Mechanical and Aerospace Engineering,BEng
Alternative : Department of Electronic and Computer Engineering",BEng
HK,The Hong Kong University of Science and Technology,44,Science (Group B),
Rejected by: BSc in Biomedical and Health Sciences",BSc
HK,The Hong Kong University of Science and Technology,44,Science (Group B),
Rejected: BSc in Biotechnology and Business",BSc
HK,The Hong Kong University of Science and Technology,44,Science (Group B),BSc
HK,The Hong Kong University of Science and Technology,44,BSc in Environmental Management and Technology,BSc
Alternative: Science (Group A)",BSc
HK,The Hong Kong University of Science and Technology,44,Choice 1 : BSc in Biomedical and Health Sciences,
HK,The Hong Kong University of Science and Technology,44,Choice 2 : BBA in Finance,BSc
Alternative : Business and Management",
HK,The Hong Kong University of Science and Technology,44,Choice 1 : BBA in Marketing,BSc
Rejected by:  Business and Management",BBA
HK,The Hong Kong University of Science and Technology,44,Choice 2 : BBA in Management,BSc
Rejected by: Business and Management",BBA
HK,The Hong Kong University of Science and Technology,44,Choice 1 : BSc in Biomedical and Health Sciences,BSc
HK,The Hong Kong University of Science and Technology,44,Choice 2 : Science (Group B),BSc
HK,The Hong Kong University of Science and Technology,44,Choice 1 : Department of Mechanical and Aerospace Engineering,BEng
Alternative : Department of Industrial Engineering and Decision Analytics",BEng
HK,The Hong Kong University of Science and Technology,44,Choice 2 : Department of Civil and Environmental Engineering,BEng
 Alternative : Department of Chemical and Biological Engineering",BEng
HK,The Hong Kong University of Science and Technology,44,Science (Group A),
Rejected by: International Research Enrichment",
HK,The Hong Kong University of Science and Technology,44,Choice 2 : BSc in Quantitative Finance,BSc
HK,The Hong Kong University of Science and Technology,44,Alternative : Business and Management,BSc
Choice 1 : BBA in Global Business",BBA
HK,The Hong Kong University of Science and Technology,44,Choice 2 : BBA in Management,BSc
Alternative : Business and Management",BBA
US,University of California, Los Angeles (UCLA),46,Business Economics (Pre), B.A.,BSc
UK,University of Bristol,51,Computer Science (G400),BSc
